#x	y	res(1.25Hz)	phi(1.25Hz)	res(2.5Hz)	phi(2.5Hz)	res(5Hz)	phi(5Hz)	res(10Hz)	phi(10Hz)
2.170	0.173	6.692	117.4	7.743	-179.3	7.175	-373.4	14.46	1534
2.250	0.173	5.744	-19.13	5.302	-66.12	6.75	-500.2	10.01	-844.3
2.340	0.173	7.051	-50.28	5.916	4.482	6.113	-95.09	5.848	-1728
2.425	0.173	7.832	-26.13	6.807	2.95	5.65	166.7	4.812	-1707
2.480	0.173	7.976	-15.22	7.097	-0.8295	5.482	244	4.662	-1659
0.007	0.200	6.052	-247.8	5.223	-106.6	5.475	-198.4	12.98	-1245
0.050	0.200	6.126	-247	5.299	-110.7	5.547	-199.3	13.19	-1205
0.109	0.200	6.293	-245.9	5.471	-121.4	5.716	-201	13.63	-1155
0.186	0.200	6.513	-246.6	5.696	-139.9	5.97	-202.8	14.1	-1244
0.280	0.200	6.654	-246.7	5.824	-159.5	6.202	-199.4	13.84	-1764
0.383	0.200	6.532	-194.3	5.68	-118.9	5.996	-171.8	12.05	-2164
0.463	0.200	6.251	-41.89	5.546	-14.74	5.301	-157.3	11.06	-978.3
0.543	0.200	5.782	124.2	5.461	-49.7	4.479	-222.7	9.873	-334
0.623	0.200	5.247	190.1	5.469	-266	3.847	-232.3	4.834	-3017
0.703	0.200	4.798	154.7	4.936	-302.4	3.408	-241.7	1.547	-6411
0.783	0.200	4.214	-7.355	3.86	-206.9	2.794	-286.2	1.798	-5099
0.863	0.200	3.515	-145.6	3.07	-252.5	1.904	-91.52	5.577	-1460
0.943	0.200	2.761	-179.7	2.496	-340.1	1.519	-136.3	3.865	-1945
1.023	0.200	2.219	-244.4	1.742	-90.32	1.782	-471.5	0.6822	-3738
1.103	0.200	2.285	-255.7	1.539	240.8	2.417	-607.2	0.237	-2898
1.183	0.200	2.986	-180.7	2.094	279.9	3.571	-814.9	0.4	-583.8
1.263	0.200	3.806	-85.68	3.243	151.8	5.178	-878.2	1.153	-166.8
1.343	0.200	4.123	69.48	4.403	-7.449	6.418	-565.7	3.856	-584.1
1.423	0.200	3.664	125.6	4.153	-7.304	4.458	-203.3	3.802	-726.3
1.503	0.200	3.467	-3.222	3.972	-90.96	2.618	-19.76	1.184	221.3
1.583	0.200	4.357	34.77	5.861	-171	3.416	-15.74	1.415	573.4
1.663	0.200	5.475	192.2	6.877	-15.8	4.736	-64.06	8.544	-1058
1.743	0.200	4.94	145.9	5.252	142	4.035	-162.4	24.2	-227.9
1.823	0.200	3.273	90.07	4.029	44.34	3.211	-131.6	11.68	822.4
1.903	0.200	2.596	188.9	3.464	-253	2.692	38.78	22.65	1658
1.983	0.200	6.415	89.86	7.832	-385.8	8.781	-240.6	50.97	3539
2.063	0.200	25.69	115.6	27.94	-140.4	16.54	-75.04	6.792	4572
2.143	0.200	7.871	133.7	8.527	-151	6.944	-291.7	10.64	2987
2.223	0.200	5.408	3.546	5.109	-95.31	6.366	-523.9	9.28	342.3
2.307	0.200	6.254	-51.47	5.336	-21.83	5.956	-213.8	5.68	-1334
2.402	0.200	7.271	-33.18	6.32	-4.388	5.524	104.3	4.578	-1651
2.467	0.200	7.637	-17.5	6.831	-4.812	5.352	226.1	4.468	-1632
0.033	0.200	6.077	-247.5	5.248	-107.9	5.499	-198.7	13.05	-1232
0.088	0.200	6.198	-246.5	5.373	-115.2	5.619	-200.1	13.38	-1179
